"Cluster Name", "Namespace", "Deployment", "Image", "Image Created"
salsa-cluster,pkramp,virt-launcher-fedora-aquamarine-roundworm-38-b6j2r,registry.redhat.io/container-native-virtualization/virt-launcher-rhel9@sha256:9dc92790701fb9dfed27d3246c592504d7a9aafa1c9cc8c4c9eee126d132539f,2024-05-06T20:40:00.681766599Z
salsa-cluster,demo-hybrid,wordpress-cache,docker.io/library/redis:latest,2024-05-22T23:17:59Z
salsa-cluster,openshift-storage,rook-ceph-operator,registry.redhat.io/odf4/rook-ceph-rhel9-operator@sha256:81c3a2dec21a8cd727f136f359b761cfcd6cab1e338899d1d5ae1fb7c521bd62,2024-06-14T16:10:37.988248785Z
salsa-cluster,rhacs-operator,rhacs-operator-controller-manager,registry.redhat.io/advanced-cluster-security/rhacs-rhel8-operator@sha256:044965511860430259846bbcd9f7e16587c717dd0b18815bcc13ee2e2c67206c,2024-06-28T20:42:36.242643067Z
salsa-cluster,kasten-io,catalog-svc,registry.connect.redhat.com/kasten/catalog@sha256:3317904a64c7ce031c80e8d8b509e3cf071ddcf1a8ce9eeed4e0fceed273382e,2024-06-28T21:51:18.083294432Z
salsa-cluster,kasten-io,catalog-svc,registry.connect.redhat.com/kasten/kanister-tools@sha256:5a74e0419101921dff568c0d5e26ed5a08ef799a685234ddcac8d503aad634c4,2024-06-28T21:50:22.017954584Z
salsa-cluster,kasten-io,logging-svc,registry.connect.redhat.com/kasten/logging@sha256:cca26e0e8d44ab739921e1a84f7739992213422a0c240e6c1badc7bda9425c3a,2024-06-28T21:49:33.314337354Z
salsa-cluster,openshift-cnv,virt-exportproxy,registry.redhat.io/container-native-virtualization/virt-exportproxy-rhel9@sha256:bd7cc5eea885750947e1161719a92507310a0ad84f1d2ac0cee2f5f08c1a06b8,2024-05-06T20:38:31.213782833Z
salsa-cluster,openshift-cnv,virt-operator,registry.redhat.io/container-native-virtualization/virt-operator-rhel9@sha256:bb329f41c1bfd013d2802d135bd366a315fe8921b3ce9d4b34642680a2c032ce,2024-05-08T12:50:19.717747132Z
salsa-cluster,openshift-kni-infra,coredns-rhsvc2.redhat.com,quay.io/openshift-release-dev/ocp-v4.0-art-dev@sha256:191320a1d0ace411fcd0aaf715d9a1cdd90559fcfaa48a9eb5161cccaa641454,2024-06-14T03:41:59.408390205Z
salsa-cluster,openshift-kni-infra,coredns-rhsvc2.redhat.com,quay.io/openshift-release-dev/ocp-v4.0-art-dev@sha256:2a42d88e633805d35636ead9396d3e0f3131a589c69cf32a84035e102023846f,2024-06-20T03:59:10.079131082Z
salsa-cluster,openshift-kni-infra,coredns-rhsvc3.redhat.com,quay.io/openshift-release-dev/ocp-v4.0-art-dev@sha256:191320a1d0ace411fcd0aaf715d9a1cdd90559fcfaa48a9eb5161cccaa641454,2024-06-14T03:41:59.408390205Z
salsa-cluster,openshift-kni-infra,coredns-rhsvc3.redhat.com,quay.io/openshift-release-dev/ocp-v4.0-art-dev@sha256:2a42d88e633805d35636ead9396d3e0f3131a589c69cf32a84035e102023846f,2024-06-20T03:59:10.079131082Z
salsa-cluster,openshift-kni-infra,coredns-rhsvc1.redhat.com,quay.io/openshift-release-dev/ocp-v4.0-art-dev@sha256:191320a1d0ace411fcd0aaf715d9a1cdd90559fcfaa48a9eb5161cccaa641454,2024-06-14T03:41:59.408390205Z
salsa-cluster,openshift-kni-infra,coredns-rhsvc1.redhat.com,quay.io/openshift-release-dev/ocp-v4.0-art-dev@sha256:2a42d88e633805d35636ead9396d3e0f3131a589c69cf32a84035e102023846f,2024-06-20T03:59:10.079131082Z
salsa-cluster,openshift-cnv,kubevirt-apiserver-proxy,registry.redhat.io/container-native-virtualization/kubevirt-apiserver-proxy-rhel9@sha256:9b564ae8dff451e8db367595f1274f481a6b28ae6595b70b106ce45a0f1e0003,2024-04-18T01:22:55.558779055Z
salsa-cluster,openshift-cnv,virt-api,registry.redhat.io/container-native-virtualization/virt-api-rhel9@sha256:468d7a275870454ea1326e068d4fe03eeaeea9f22449c3d988ae61d875579c7c,2024-05-06T20:38:54.850180938Z
salsa-cluster,openshift-cnv,virt-controller,registry.redhat.io/container-native-virtualization/virt-controller-rhel9@sha256:3fd12cfa4bc6ba8ac056650d5b784869dc0c470a3c660310edfd98a1a073219f,2024-05-06T20:38:58.785079702Z
