"Cluster Name", "Namespace", "Deployment", "Image", "Image Created"
salsa-cluster,openshift-cnv,cdi-deployment,registry.redhat.io/container-native-virtualization/virt-cdi-controller-rhel9@sha256:7da3d3d7a21e773a17f936861afc36e859aa10981b0bd5d09f6e641074c49ee7,2024-05-05T13:56:25.025958944Z
salsa-cluster,openshift-cnv,bridge-marker,registry.redhat.io/container-native-virtualization/bridge-marker-rhel9@sha256:f4f4571e434174579e27dc0f664504546d46e68baa88f4d3cb9060bf81dc590b,2024-04-18T02:45:45.321341884Z
salsa-cluster,openshift-cnv,virt-template-validator,registry.redhat.io/container-native-virtualization/kubevirt-template-validator-rhel9@sha256:172ff585b750511a35559be3ae5112cc22704bdb32c621a06acc7bb4b7e06a05,2024-04-23T12:33:37.655211936Z
salsa-cluster,openshift-cnv,cdi-uploadproxy,registry.redhat.io/container-native-virtualization/virt-cdi-uploadproxy-rhel9@sha256:bb2b8204b0e70d908209ccce2086d1facf960e849f59413d3560640697c5c0a4,2024-05-05T13:56:36.084506949Z
salsa-cluster,open-cluster-management-agent-addon,governance-policy-framework,registry.redhat.io/rhacm2/acm-governance-policy-framework-addon-rhel9@sha256:604d98c553aa58b92524aa1f36b07510fc7d73131205c1bdff924931ad2fdb39,2024-05-02T09:14:44.140784503Z
salsa-cluster,open-cluster-management-agent-addon,governance-policy-framework,registry.redhat.io/rhacm2/kube-rbac-proxy-rhel9@sha256:8485d7466de8b9184ea79587cbad40789e9afadd6807623616e8b87aca811138,2024-05-02T09:21:10.540405280Z
salsa-cluster,openshift-cnv,cdi-apiserver,registry.redhat.io/container-native-virtualization/virt-cdi-apiserver-rhel9@sha256:c41401050faf796cee20b0b0e7307a87dbd4d4daa0bd4f5a0eb8b0179ed8a534,2024-05-05T13:56:36.342660923Z
salsa-cluster,openshift-cnv,hco-webhook,registry.redhat.io/container-native-virtualization/hyperconverged-cluster-webhook-rhel9@sha256:e1dd862e740c87cd8d825fea225ee0a9f5e83e762245e2a074200f36ee93fc74,2024-05-07T14:49:08.124582454Z
salsa-cluster,openshift-cnv,hostpath-provisioner-operator,registry.redhat.io/container-native-virtualization/hostpath-provisioner-operator-rhel9@sha256:a3bd0a7b7e6d2277b71fe3974dacf7830c3552b0e678ecfecd738e1d2bcd83da,2024-04-18T02:51:02.980125517Z
salsa-cluster,open-cluster-management-agent-addon,config-policy-controller,registry.redhat.io/rhacm2/config-policy-controller-rhel9@sha256:ad876f2f1087f3f413cb5aea0f488e04560f6092d65633a64baf62a524298e11,2024-05-02T13:20:32.496483796Z
